Country,Year,IDH,Host,Women,Gobierno,Logpop,Last,Medals
AUS,1992,0.868,0,92,0,7.243,14,27
BRA,1992,0.622,0,50,0,8.188,6,3
CAN,1992,0.856,0,116,0,7.453,10,18
CHN,1992,0.521,0,127,1,9.066,28,54
CUB,1992,0.663,0,50,1,7.031,28,31
ESP,1992,0.772,1,125,0,7.593,4,22
ETH,1992,0.283,0,6,0,7.711,3,3
FRA,1992,0.798,0,98,0,7.77,16,29
GBR,1992,0.801,0,142,0,7.76,24,20
GER,1992,0.814,0,163,0,7.906,142,82
GRE,1992,0.764,0,14,0,7.017,1,2
HUN,1992,0.706,0,58,0,7.016,23,30
IRI,1992,0.608,0,0,0,7.769,1,3
ITA,1992,0.78,0,76,0,7.754,14,19
JAM,1992,0.645,0,14,0,6.391,2,4
JPN,1992,0.824,0,81,0,8.094,14,22
KEN,1992,0.463,0,9,0,7.404,9,8
KOR,1992,0.746,0,72,0,7.641,33,29
MEX,1992,0.658,0,26,0,7.94,2,1
NED,1992,0.835,0,84,0,7.181,9,15
NOR,1992,0.862,0,32,0,6.632,5,7
NZL,1992,0.825,0,42,0,6.548,13,10
PRK,1992,0.6,0,28,1,7.321,4,9
ROU,1992,0.678,0,68,0,7.358,24,18
RUS,1992,0.718,0,208,1,8.172,132,112
THA,1992,0.589,0,23,0,7.746,1,1
TUR,1992,0.589,0,5,0,7.746,2,6
USA,1992,0.867,0,190,0,8.409,94,108
AUS,1996,0.886,0,167,0,7.263,27,41
BRA,1996,0.656,0,65,0,8.216,3,15
CAN,1996,0.863,0,151,0,7.471,18,22
CHN,1996,0.559,0,183,1,9.085,54,50
CUB,1996,0.665,0,53,1,7.039,31,25
ESP,1996,0.806,0,95,0,7.601,22,17
ETH,1996,0.283,0,8,0,7.77,3,3
FRA,1996,0.83,0,102,0,7.776,29,37
GBR,1996,0.844,0,116,0,7.765,20,15
GER,1996,0.839,0,187,0,7.913,82,65
GRE,1996,0.772,0,34,0,7.026,2,8
HUN,1996,0.746,0,77,0,7.013,30,21
IRI,1996,0.647,0,1,0,7.794,3,3
ITA,1996,0.806,0,104,0,7.755,19,35
JAM,1996,0.66,0,19,0,6.408,4,6
JPN,1996,0.845,0,149,0,8.1,22,14
KEN,1996,0.455,0,10,0,7.456,8,8
KOR,1996,0.789,0,111,0,7.658,29,27
MEX,1996,0.677,0,27,0,7.969,1,1
NED,1996,0.866,0,102,0,7.191,15,19
NOR,1996,0.888,0,55,0,6.642,7,7
NZL,1996,0.854,0,29,0,6.572,10,6
PRK,1996,0.6,0,9,1,7.345,9,5
ROU,1996,0.695,0,67,0,7.354,18,20
RUS,1996,0.701,0,158,1,8.171,112,63
THA,1996,0.619,0,12,0,7.774,1,2
TUR,1996,0.615,0,9,0,7.774,6,6
USA,1996,0.879,1,271,0,8.43,108,101
AUS,2000,0.898,1,276,0,7.282,41,58
BRA,2000,0.684,0,92,0,8.243,15,12
CAN,2000,0.867,0,144,0,7.487,22,14
CHN,2000,0.594,0,180,1,9.101,50,59
CUB,2000,0.686,0,82,1,7.046,25,29
ESP,2000,0.825,0,105,0,7.608,17,12
ETH,2000,0.283,0,11,0,7.821,3,8
FRA,2000,0.849,0,125,0,7.785,37,38
GBR,2000,0.867,0,129,0,7.77,15,28
GER,2000,0.868,0,181,0,7.915,65,56
GRE,2000,0.796,0,58,0,7.034,8,13
HUN,2000,0.769,0,69,0,7.009,21,17
IRI,2000,0.67,0,1,0,7.817,3,4
ITA,2000,0.83,0,115,0,7.755,35,34
JAM,2000,0.662,0,26,0,6.424,6,7
JPN,2000,0.855,0,110,0,8.103,14,18
KEN,2000,0.451,0,22,0,7.505,8,7
KOR,2000,0.817,0,106,0,7.672,27,28
